2022-09-14 19:12:26.187882 ({'Leo'}, {'/f 254'}, 'В двоичной системе = 11111110')
2022-09-14 19:12:26.187882 ({'Vadim'}, {'/f 5+1'}, 'Это выражение целых чисел = 6')
2022-09-14 19:11:45.582221 ({'Leo'}, {'/f 2+3+4+5+6+7'}, 'Сам такое считай!')
2022-09-14 19:11:45.582221 ({'Leo'}, {'/f 2+3'}, 'Это выражение целых чисел = 5')
2022-09-14 19:11:45.582221 ({'Leo'}, {'/f'}, 'Сам такое считай!')
2022-09-14 19:11:45.582221 ({'Leo'}, {'/f 2+3+4'}, 'Сам такое считай!')
2022-09-14 20:35:27.825128 ({'Leo'}, {'/f -5+4'}, 'Это выражение целых чисел = -1')
2022-09-14 20:35:27.825128 ({'Leo'}, {'/f -4+5'}, 'Это выражение целых чисел = 1')
2022-09-14 20:37:06.567271 ({'Leo'}, {'/f 2.4 + 2.4'}, 'Сам такое считай!')
2022-09-14 20:41:30.746708 ({'Leo'}, {'/f 2,4 + 2,4'}, 'Получилось (2, 6, 4)')
2022-09-14 20:41:30.746708 ({'Leo'}, {'/f 2.2 + 2.4'}, 'Получилось 4.6')
2022-09-14 20:41:30.746708 ({'Leo'}, {'/f 2.4 + 2.4 - 1 + 3.4 - 7'}, 'Получилось 0.1999999999999993')
2022-09-14 20:58:38.253392 ({'Leo'}, {'/f 2.4 + 3.4'}, 'Получилось 6')
2022-09-14 20:58:38.253392 ({'Leo'}, {'/f 2.4 + 3.4'}, 'Получилось 6')
2022-09-14 20:58:38.253392 ({'Leo'}, {'/f 2.4 + 2.4'}, 'Получилось 5')
2022-09-14 20:58:38.253392 ({'Leo'}, {'/f 2.4 + 2.4'}, 'Получилось 5')
2022-09-14 20:58:38.253392 ({'Leo'}, {'/f 2+2'}, 'Это выражение целых чисел = 4')
2022-09-14 20:41:30.746708 ({'Leo'}, {'/f 2.4 + 2.4'}, 'Получилось 4.8')
2022-09-14 20:58:38.253392 ({'Leo'}, {'/f 2.4 + 2.4 - 4'}, 'Получилось 1')
2022-09-14 21:09:57.321871 ({'Leo'}, {'/f 2.4 + 2'}, 'Получилось 4.4')
2022-09-14 21:09:57.321871 ({'Leo'}, {'/f 2.401 + 2.401'}, 'Получилось 4.802')
2022-09-14 21:09:57.321871 ({'Leo'}, {'/f 2.401 - 2.400'}, 'Получилось 0.0009999999999998899')
2022-09-14 21:09:57.321871 ({'Leo'}, {'/f 2.4 + 2.4 + 2.4'}, 'Получилось 7.199999999999999')
2022-09-14 21:09:57.321871 ({'Leo'}, {'/f 2+2+2+2'}, 'Получилось 8')
2022-09-14 21:09:57.321871 ({'Leo'}, {'/f 2+4+5+6+1-1'}, 'Получилось 17')
2022-09-14 20:58:38.253392 ({'Leo'}, {'/f 2 - 4 -5 -6 -7 -8 -2 -2.4'}, 'Получилось -32')
2022-09-14 22:16:07.428373 ({'Leo'}, {'/f 2.3 -3.4'}, 'Сам такое считай!')
2022-09-14 22:16:07.428373 ({'Leo'}, {'/f 3.1 -1'}, 'Сам такое считай!')
